sample	tissue	file
V16_S5	Pancreas	Pancreas/fragments/V16_S5.ends_100kb.tsv
V16_S6	Pancreas	Pancreas/fragments/V16_S6.ends_100kb.tsv
V16_S9	Pancreas	Pancreas/fragments/V16_S9.ends_100kb.tsv
V28_S7	Pancreas	Pancreas/fragments/V28_S7.ends_100kb.tsv
V8_S1	Pancreas	Pancreas/fragments/V8_S1.ends_100kb.tsv
V8_S2	Pancreas	Pancreas/fragments/V8_S2.ends_100kb.tsv
V8_S3	Pancreas	Pancreas/fragments/V8_S3.ends_100kb.tsv
V8_S4	Pancreas	Pancreas/fragments/V8_S4.ends_100kb.tsv
V8_S6	Pancreas	Pancreas/fragments/V8_S6.ends_100kb.tsv
V8_S7	Pancreas	Pancreas/fragments/V8_S7.ends_100kb.tsv
V8_S8	Pancreas	Pancreas/fragments/V8_S8.ends_100kb.tsv
V14_S1	Prostate	Prostate/fragments/V14_S1.ends_100kb.tsv
V14_S10	Prostate	Prostate/fragments/V14_S10.ends_100kb.tsv
V14_S11	Prostate	Prostate/fragments/V14_S11.ends_100kb.tsv
V14_S12	Prostate	Prostate/fragments/V14_S12.ends_100kb.tsv
V14_S2	Prostate	Prostate/fragments/V14_S2.ends_100kb.tsv
V14_S3	Prostate	Prostate/fragments/V14_S3.ends_100kb.tsv
V14_S4	Prostate	Prostate/fragments/V14_S4.ends_100kb.tsv
V14_S5	Prostate	Prostate/fragments/V14_S5.ends_100kb.tsv
V14_S6	Prostate	Prostate/fragments/V14_S6.ends_100kb.tsv
V14_S7	Prostate	Prostate/fragments/V14_S7.ends_100kb.tsv
V14_S9	Prostate	Prostate/fragments/V14_S9.ends_100kb.tsv
V15_S11	Prostate	Prostate/fragments/V15_S11.ends_100kb.tsv
V25_S11	Prostate	Prostate/fragments/V25_S11.ends_100kb.tsv
V25_S5	Prostate	Prostate/fragments/V25_S5.ends_100kb.tsv
V25_S6	Prostate	Prostate/fragments/V25_S6.ends_100kb.tsv
V2_S1	Prostate	Prostate/fragments/V2_S1.ends_100kb.tsv
V32_S1	Prostate	Prostate/fragments/V32_S1.ends_100kb.tsv
V32_S2	Prostate	Prostate/fragments/V32_S2.ends_100kb.tsv
V32_S3	Prostate	Prostate/fragments/V32_S3.ends_100kb.tsv
V32_S4	Prostate	Prostate/fragments/V32_S4.ends_100kb.tsv
V32_S5	Prostate	Prostate/fragments/V32_S5.ends_100kb.tsv
V32_S6	Prostate	Prostate/fragments/V32_S6.ends_100kb.tsv
V36_S1	Prostate	Prostate/fragments/V36_S1.ends_100kb.tsv
V36_S10	Prostate	Prostate/fragments/V36_S10.ends_100kb.tsv
V36_S12	Prostate	Prostate/fragments/V36_S12.ends_100kb.tsv
V36_S2	Prostate	Prostate/fragments/V36_S2.ends_100kb.tsv
V36_S3	Prostate	Prostate/fragments/V36_S3.ends_100kb.tsv
V37_S1	Prostate	Prostate/fragments/V37_S1.ends_100kb.tsv
V37_S10	Prostate	Prostate/fragments/V37_S10.ends_100kb.tsv
V37_S12	Prostate	Prostate/fragments/V37_S12.ends_100kb.tsv
V37_S13	Prostate	Prostate/fragments/V37_S13.ends_100kb.tsv
V37_S15	Prostate	Prostate/fragments/V37_S15.ends_100kb.tsv
V37_S16	Prostate	Prostate/fragments/V37_S16.ends_100kb.tsv
V37_S2	Prostate	Prostate/fragments/V37_S2.ends_100kb.tsv
V37_S3	Prostate	Prostate/fragments/V37_S3.ends_100kb.tsv
V37_S4	Prostate	Prostate/fragments/V37_S4.ends_100kb.tsv
V37_S9	Prostate	Prostate/fragments/V37_S9.ends_100kb.tsv
V3_S7	Prostate	Prostate/fragments/V3_S7.ends_100kb.tsv
V3_S8	Prostate	Prostate/fragments/V3_S8.ends_100kb.tsv
V5_S5	Prostate	Prostate/fragments/V5_S5.ends_100kb.tsv
V5_S7	Prostate	Prostate/fragments/V5_S7.ends_100kb.tsv
V6_S10	Prostate	Prostate/fragments/V6_S10.ends_100kb.tsv
V6_S11	Prostate	Prostate/fragments/V6_S11.ends_100kb.tsv
V6_S9	Prostate	Prostate/fragments/V6_S9.ends_100kb.tsv
V7_S1	Prostate	Prostate/fragments/V7_S1.ends_100kb.tsv
V7_S2	Prostate	Prostate/fragments/V7_S2.ends_100kb.tsv
V17_S20	Stomach	Stomach/fragments/V17_S20.ends_100kb.tsv
V19_S1	Stomach	Stomach/fragments/V19_S1.ends_100kb.tsv
V19_S10	Stomach	Stomach/fragments/V19_S10.ends_100kb.tsv
V19_S11	Stomach	Stomach/fragments/V19_S11.ends_100kb.tsv
V19_S12	Stomach	Stomach/fragments/V19_S12.ends_100kb.tsv
V19_S2	Stomach	Stomach/fragments/V19_S2.ends_100kb.tsv
V19_S3	Stomach	Stomach/fragments/V19_S3.ends_100kb.tsv
V19_S5	Stomach	Stomach/fragments/V19_S5.ends_100kb.tsv
V19_S6	Stomach	Stomach/fragments/V19_S6.ends_100kb.tsv
V19_S7	Stomach	Stomach/fragments/V19_S7.ends_100kb.tsv
V19_S9	Stomach	Stomach/fragments/V19_S9.ends_100kb.tsv
V20_S1	Stomach	Stomach/fragments/V20_S1.ends_100kb.tsv
V20_S10	Stomach	Stomach/fragments/V20_S10.ends_100kb.tsv
V20_S11	Stomach	Stomach/fragments/V20_S11.ends_100kb.tsv
V20_S12	Stomach	Stomach/fragments/V20_S12.ends_100kb.tsv
V20_S2	Stomach	Stomach/fragments/V20_S2.ends_100kb.tsv
V20_S3	Stomach	Stomach/fragments/V20_S3.ends_100kb.tsv
V20_S4	Stomach	Stomach/fragments/V20_S4.ends_100kb.tsv
V20_S5	Stomach	Stomach/fragments/V20_S5.ends_100kb.tsv
V20_S6	Stomach	Stomach/fragments/V20_S6.ends_100kb.tsv
V20_S7	Stomach	Stomach/fragments/V20_S7.ends_100kb.tsv
V20_S8	Stomach	Stomach/fragments/V20_S8.ends_100kb.tsv
V20_S9	Stomach	Stomach/fragments/V20_S9.ends_100kb.tsv
VY_S5	Stomach	Stomach/fragments/VY_S5.ends_100kb.tsv
